"           0388","2007","0","Prestressed Concrete","5","9","9","9","9","9","9","8","8","8","8","8","8","8","8"
"           0389","1920","0","Wood or Timber","6","6","6","4","4","4","4","5","5","4","4","5","5","6","6"
"           0390","1960","0","Steel","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5"
"           0391","1988","0","Prestressed Concrete","8","8","8","8","8","8","8","7","7","7","7","7","7","6","6"
"           0392","1967","0","Steel Continuous","8","8","8","8","8","8","8","8","8","8","7","7","7","7","7"
"           0395","1987","0","Prestressed Concrete","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0396","1972","0","Prestressed Concrete","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0398","1961","0","Steel","5","5","6","6","6","6","6","6","7","7","7","7","7","7","7"
"           0399","1960","0","Steel","7","7","7","7","5","5","4","4","4","4","4","4","4","4","9"
"           0401","1974","0","Wood or Timber","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0402","1960","0","Steel","6","6","6","6","5","5","4","4","4","4","4","4","4","4","9"
"           0403","1965","0","Concrete","6","6","6","6","6","6","6","5","5","5","5","5","5","5","5"
"           0404","1965","0","Concrete","6","6","6","6","6","6","6","6","6","5","5","5","5","5","5"
"           0405","1966","0","Concrete","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0406","1966","0","Steel","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0407","1966","0","Steel","6","6","7","7","7","7","7","7","7","7","7","7","6","6","6"
"           0408","1966","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6"
"           0409","1966","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6"
"           0410","1966","0","Steel","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6"
"           0411","1966","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6"
"           0414","2019","0","Prestressed Concrete","7","7","7","7","7","7","7","6","5","5","5","4","4","4","9"
"           0415","2019","0","Prestressed Concrete","7","7","7","7","7","7","7","6","6","6","6","5","5","5","9"
"           0418","1981","0","Prestressed Concrete","6","6","6","6","6","6","6","6","6","6","6","6","6","5","5"
"           0419","1967","0","Steel","8","8","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0421","1967","0","Steel","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"           0422","1967","0","Steel","7","7","7","7","7","7","7","7","6","6","6","6","6","6","6"
"           0423","1967","0","Steel","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"           0424","1944","0","Steel","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6"
"           0425","1982","0","Prestressed Concrete","8","8","8","8","8","8","7","7","7","7","7","7","7","7","7"
"           0426","1982","0","Prestressed Concrete","8","8","8","8","8","8","7","7","7","7","7","7","7","7","7"
"           0427","2014","0","Prestressed Concrete","5","5","5","6","6","5","4","4","9","9","9","9","9","9","9"
"           0429","1979","0","Steel","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6"
"           0430","1983","0","Wood or Timber","8","8","7","7","7","7","7","7","8","8","8","8","8","8","8"
"           0431","1957","0","Steel","5","5","5","5","5","5","5","5","7","7","7","7","6","6","6"
"           0433","1968","0","Steel","5","7","7","7","7","7","6","6","6","6","6","6","6","6","6"
"           0440","1969","0","Steel Continuous","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"           0441","1977","0","Prestressed Concrete","6","6","6","6","6","6","6","7","7","7","7","7","7","8","8"
"           0442","1977","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0444","1976","0","Steel Continuous","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7"
"           0445","1984","0","Wood or Timber","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0446","2018","0","Prestressed Concrete","5","5","5","4","4","4","4","4","4","4","4","4","9","9","9"
"           0453","1979","0","Prestressed Concrete","6","6","6","6","6","6","6","6","6","6","6","5","5","5","5"
"           0455","1975","0","Steel Continuous","6","6","6","6","6","6","6","6","6","6","6","6","8","6","6"
"           0460","1973","0","Wood or Timber","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7"
"           0461","1947","0","Steel","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6"
"           0462","1947","0","Steel","7","7","6","6","4","4","6","6","6","6","6","6","6","6","6"
"           0463","1941","0","Steel","8","8","7","7","7","7","6","6","6","6","6","6","6","6","6"
"           0464","1937","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6"
"           0466","1937","0","Steel","7","7","7","7","7","7","6","6","6","6","6","6","6","6","6"
"           0467","1937","0","Steel","7","7","7","7","7","7","9","9","9","9","9","9","8","8","8"
"           0470","1974","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0473","1972","0","Steel","8","8","8","8","1","1","6","6","6","6","6","6","6","6","6"
"           0478","1972","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0481","1969","0","Steel","7","7","7","7","7","7","7","7","7","6","6","6","6","7","7"
"           0482","1985","0","Steel Continuous","7","7","7","7","7","7","7","7","7","6","6","6","6","6","6"
"           0484","2002","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6"
"           0496","1991","0","Prestressed Concrete","8","8","8","8","8","8","8","8","8","8","8","8","7","7","7"
"           0501","1995","0","Prestressed Concrete","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"           0503","1983","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0504","1986","0","Prestressed Concrete","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7"
"           0505","2010","0","Prestressed Concrete","4","4","4","4","9","9","9","9","9","9","9","9","9","9","9"
"           0506","2019","0","Prestressed Concrete","5","5","5","5","6","6","6","6","6","6","6","6","6","8","8"
"           0507","1985","0","Prestressed Concrete","8","8","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0508","1985","0","Prestressed Concrete","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7"
"           0509","1944","0","Steel","6","6","6","6","6","6","6","6","7","7","7","7","6","6","6"
"           0510","1985","0","Prestressed Concrete","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"           0511","1985","0","Prestressed Concrete","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"           0513","1985","0","Prestressed Concrete","8","8","8","8","8","8","8","8","8","8","8","8","7","7","7"
"           0514","1985","0","Prestressed Concrete","8","8","8","8","8","8","8","8","8","8","7","7","7","7","7"
"           0515","1990","0","Prestressed Concrete","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"           0516","1982","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0519","1999","0","Prestressed Concrete","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"           0520","1944","0","Steel","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"           0521","1995","0","Prestressed Concrete","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"           0524","1966","0","Steel","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0525","2011","0","Prestressed Concrete","6","6","6","6","6","9","9","9","9","9","9","9","8","8","8"
"           0526","2016","0","Prestressed Concrete","5","5","5","5","5","5","5","5","6","7","9","9","9","9","9"
"           0527","1967","0","Steel Continuous","7","7","7","7","7","7","7","7","8","8","8","8","7","7","7"
"           0528","1967","0","Steel","8","8","8","8","8","8","8","8","8","8","8","8","6","6","6"
"           0529","1967","0","Steel","5","5","5","5","5","5","5","5","5","5","5","5","5","5","7"
"           0530","1967","0","Steel","6","6","5","5","5","5","5","5","5","5","5","5","5","5","7"
"           0531","1971","0","Steel","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0532","1953","0","Steel Continuous","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
