"100320000001393","1994","Wood or Timber","7","7","7","7","7","7","7","7","6","6","6","7","7","7","7"
"100320000001394","1994","Wood or Timber","8","8","8","7","7","7","7","7","7","7","7","7","7","7","7"
"100350000001318","1985","Wood or Timber","4","4","6","6","7","7","7","7","7","7","6","6","7","7","7"
"100350000001320","1982","Wood or Timber","7","7","7","7","6","6","7","7","7","7","7","7","7","7","7"
"100350000001469","1985","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100510000001052","1985","Wood or Timber","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100540000001025","1980","Steel","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100540000001028","1991","Steel","7","7","7","6","6","6","6","6","5","7","6","6","7","7","7"
"100540000001037","1980","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100540000001039","1978","Steel","7","7","7","6","6","6","7","7","7","7","7","7","7","7","7"
"100540000001041","1984","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100540000001085","1987","Wood or Timber","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100540000001094","1986","Prestressed Concrete","7","7","7","7","7","7","7","7","6","6","7","7","7","7","7"
"100554000003392","2004","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100554000003393","2004","Wood or Timber","7","7","7","6","6","6","6","6","5","5","6","6","6","6","6"
"100554000003394","2005","Wood or Timber","8","8","7","7","7","7","6","6","5","5","5","5","5","5","5"
"100554000003469","2005","Wood or Timber","8","8","7","7","7","7","6","6","5","5","6","6","6","6","6"
"100554000003470","2005","Wood or Timber","8","8","7","6","6","6","6","6","5","5","4","4","4","4","4"
