STRUCTURE_NUMBER_008,YEAR_BUILT_027,Material Used,DeckRating_of_Year_2007,DeckRating_of_Year_2008,DeckRating_of_Year_2009,DeckRating_of_Year_2010,DeckRating_of_Year_2011,DeckRating_of_Year_2012,DeckRating_of_Year_2013,DeckRating_of_Year_2014,DeckRating_of_Year_2015,DeckRating_of_Year_2016,DeckRating_of_Year_2017,DeckRating_of_Year_2018,DeckRating_of_Year_2019,DeckRating_of_Year_2020,DeckRating_of_Year_2021
351,1966,Steel,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
352,1966,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
353,1950,Steel Continuous,7,7,7,7,7,7,7,8,8,8,8,7,7,7,7
357,1965,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
358,1965,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
359,1965,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
360,1973,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
367,1968,Steel,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
380,1988,Prestressed Concrete,7,7,7,7,7,7,7,8,8,7,7,7,7,8,8
381,1954,Prestressed Concrete,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6
383,2014,Prestressed Concrete,5,4,4,3,3,3,3,8,9,9,9,9,9,9,9
384,1970,Wood or Timber,5,7,7,6,6,6,6,6,6,6,6,6,6,6,6
385,1974,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
386,1974,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
387,1979,Steel,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6
388,2007,Prestressed Concrete,5,9,9,9,9,9,9,8,8,8,8,8,8,8,8
389,1920,Wood or Timber,6,6,6,4,4,4,4,5,5,4,4,5,5,6,6
390,1960,Steel,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5
391,1988,Prestressed Concrete,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6
392,1967,Steel Continuous,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7
395,1987,Prestressed Concrete,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
396,1972,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
398,1961,Steel,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7
399,1960,Steel,7,7,7,7,5,5,4,4,4,4,4,4,4,4,9
401,1974,Wood or Timber,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
402,1960,Steel,6,6,6,6,5,5,4,4,4,4,4,4,4,4,9
403,1965,Concrete,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5
404,1965,Concrete,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5
405,1966,Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
406,1966,Steel,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
407,1966,Steel,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6
408,1966,Steel,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
409,1966,Steel,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
410,1966,Steel,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
411,1966,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6
414,2019,Prestressed Concrete,7,7,7,7,7,7,7,6,5,5,5,4,4,4,9
415,2019,Prestressed Concrete,7,7,7,7,7,7,7,6,6,6,6,5,5,5,9
